Performance,Gender,Caste,coaching,time,Class_ten_education,twelve_education,medium,Class_ X_Percentage,Class_XII_Percentage,Father_occupation,Mother_occupation,mixed_type_col
Excellent,male,General,NO, one ,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,OTHERS,unknown
Excellent, MALE ,OBC,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,666
Excellent,male,OBC,OA,TWO, others ,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,unknown
Excellent,male,General,WA, one ,SEBA,AHSEC,OTHERS,Excellent, eXCELLENT ,SCHOOL_TEACHER, school_teacher ,275
Excellent,male,General,OA, two ,,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,HOUSE_WIFE,6
Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent, eXCELLENT ,COLLEGE_TEACHER,HOUSE_WIFE,73
Excellent,female,General,OA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR,344
Excellent,male,OBC,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,681
Excellent,female,General,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,440
Excellent,female,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,HOUSE_WIFE,618
Excellent,male,General,OA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,bad
Excellent,male,General,NO,ONE,CBSE,CBSE, english ,Excellent,Excellent,DOCTOR, doctor ,
Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BANK_OFFICIAL,SCHOOL_TEACHER,748
Excellent,male,General,NO,TWO, seba ,AHSEC,ENGLISH, eXCELLENT ,Excellent, business ,HOUSE_WIFE,723
Excellent,male,General,WA,ONE,SEBA,CBSE,ENGLISH,Excellent,Excellent,OTHERS, house_wife ,
Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS, house_wife ,825
Excellent,male,General,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER,unknown
Excellent,female,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,704
Excellent,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,350
Excellent,male,General,OA,ONE,SEBA,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,SCHOOL_TEACHER,872
Excellent,female,OBC, no ,ONE,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,COLLEGE_TEACHER,COLLEGE_TEACHER,bad
Excellent, MALE ,General,NO,ONE,SEBA,AHSEC,OTHERS,Vg,Vg,BANK_OFFICIAL,SCHOOL_TEACHER,bad
Excellent,male,General,WA,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER,281
Excellent, MALE ,General,NO,ONE,OTHERS,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,
Excellent,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,
Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,OTHERS,531
Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,COLLEGE_TEACHER,bad
Excellent,male,General,OA,TWO,OTHERS,OTHERS,ENGLISH,Excellent,Vg,DOCTOR,OTHERS,627
Excellent,female,General, wa ,TWO,SEBA,AHSEC,ENGLISH,Excellent,Vg,OTHERS,COLLEGE_TEACHER,809
Excellent,female,General,NO, two ,SEBA,AHSEC,,Good,Vg,SCHOOL_TEACHER,HOUSE_WIFE,469
 eXCELLENT ,female,General,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER,bad
Excellent,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,bad
Excellent,female,General,NO,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,217
Excellent,male,General,WA,TWO,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,OTHERS,HOUSE_WIFE,862
Excellent,male,OBC,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,OTHERS,17
Excellent,female,General,OA,TWO,CBSE,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,bad
Excellent,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,COLLEGE_TEACHER,unknown
Excellent, MALE ,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent, eXCELLENT ,BUSINESS,HOUSE_WIFE,301
Excellent, MALE ,General,NO,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,933
Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Vg,ENGINEER,HOUSE_WIFE,662
Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,COLLEGE_TEACHER,138
 eXCELLENT ,male,General,WA,TWO, seba ,AHSEC,OTHERS,Good,Good,SCHOOL_TEACHER,SCHOOL_TEACHER,139
Excellent,male,General,WA,TWO, cbse ,CBSE,ENGLISH,Excellent,Excellent,BANK_OFFICIAL,HOUSE_WIFE,117
,female,General,OA,ONE,OTHERS,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,304
Excellent,male,SC,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,68
Excellent,male,SC,WA,TWO,SEBA,AHSEC,OTHERS, eXCELLENT ,Vg,OTHERS,HOUSE_WIFE,unknown
Excellent,female,General,NO,TWO,CBSE,,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER,765
Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,873
Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,bad
Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR,unknown
Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,695
,male,OBC,WA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,943
Excellent, FEMALE ,General,WA,THREE,SEBA,AHSEC,OTHERS,Vg,Vg,OTHERS,HOUSE_WIFE,53
Excellent,female,General,WA,TWO,OTHERS, cbse ,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,904
Excellent,male,SC,OA,TWO,SEBA,AHSEC,ENGLISH,Good,Good,BUSINESS,HOUSE_WIFE,723
 eXCELLENT ,male,General,WA,THREE,SEBA,AHSEC,ASSAMESE,Excellent,Good,COLLEGE_TEACHER,HOUSE_WIFE,386
Excellent,male,General,NO,TWO,CBSE,CBSE,ENGLISH,Excellent,Good,BANK_OFFICIAL,HOUSE_WIFE,448
Excellent,male,General,OA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE,438
Excellent,female,General,WA,TWO,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,BUSINESS,HOUSE_WIFE,bad
Excellent,male,General,WA, two ,SEBA,AHSEC,OTHERS,Excellent,Excellent,OTHERS,HOUSE_WIFE,230
Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,SCHOOL_TEACHER,295
Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,5
Excellent,male,General,WA, two ,,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,COLLEGE_TEACHER,bad
Excellent,female,General,WA,TWO,CBSE, cbse ,ENGLISH,Excellent, eXCELLENT ,OTHERS,OTHERS,476
Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent, eXCELLENT ,ENGINEER,HOUSE_WIFE,329
Excellent,male,OBC,WA,ONE,SEBA,AHSEC,ASSAMESE,Average,Average,BUSINESS, others ,176
Excellent,male,,NO,TWO,CBSE,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,969
Excellent, MALE ,OBC,NO,ONE,CBSE,CBSE,ENGLISH, eXCELLENT ,Excellent,OTHERS,HOUSE_WIFE,bad
Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent, eXCELLENT ,OTHERS,HOUSE_WIFE,bad
 eXCELLENT ,female,General,OA, two ,CBSE,CBSE,ENGLISH,Excellent, eXCELLENT ,OTHERS,HOUSE_WIFE,722
Excellent,male,OBC,WA,TWO,SEBA,AHSEC,OTHERS,Good,Good,OTHERS,HOUSE_WIFE,372
Excellent,male,General,WA,ONE,OTHERS,OTHERS,ENGLISH,Excellent,Good,OTHERS,OTHERS,215
Excellent,male,OBC,OA,TWO,OTHERS,OTHERS,OTHERS,Vg,Vg,BUSINESS, house_wife ,673
Excellent,male,General,WA,THREE,SEBA,AHSEC,ASSAMESE,Vg,Good,OTHERS,SCHOOL_TEACHER,770
Excellent,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,SCHOOL_TEACHER,
Excellent,male,General,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER,
Excellent,female,General,WA, three ,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,2
Excellent,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS, house_wife ,637
Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,OTHERS,618
Excellent,male,General,WA,TWO,SEBA, ahsec ,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,412
Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,243
 eXCELLENT ,male,General,OA,ONE,SEBA,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,
Excellent,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,
Excellent,male,General,WA,ONE,OTHERS,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,272
Excellent,female,OBC,WA,TWO,SEBA,CBSE,ENGLISH, eXCELLENT ,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,706
Excellent,male,General,NO,ONE,SEBA,AHSEC,OTHERS,Average,Good,OTHERS,HOUSE_WIFE,481
Excellent,male,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,
Excellent,female,OBC,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,648
Excellent,female,General,WA,ONE,, cbse ,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,368
Excellent,male,General,OA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,152
Excellent,male,General,WA,TWO,SEBA,AHSEC,OTHERS,Good,Excellent,CULTIVATOR, house_wife ,167
Excellent,male,General,OA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent, business ,HOUSE_WIFE,939
Excellent,male,General,WA,THREE,SEBA,CBSE,ENGLISH,Vg,Good,OTHERS,OTHERS,505
Excellent,female,General,WA,TWO,SEBA,AHSEC,ASSAMESE,Good,Average,SCHOOL_TEACHER,SCHOOL_TEACHER,417
Excellent,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,,unknown
Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,721
Excellent,male,General,OA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,912
Excellent,female,OBC, wa ,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,unknown
Excellent, MALE ,General,NO,ONE,CBSE,CBSE,ENGLISH, vG ,Vg,OTHERS,HOUSE_WIFE,534
Excellent,female,OBC,WA,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER,475
Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER,865
Vg,female,General,WA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR,856
Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,
Vg,female,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,BANK_OFFICIAL,BANK_OFFICIAL,964
Vg,male,General,WA,,CBSE,CBSE,ENGLISH,Excellent,Vg, bank_official ,HOUSE_WIFE,827
Vg,male,General,NO,ONE, others ,CBSE,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER,846
Vg,female,General,WA,ONE,CBSE,CBSE,ENGLISH,Vg,Vg,BUSINESS,HOUSE_WIFE,56
Vg,male,General,WA,ONE,SEBA, ahsec ,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,130
Vg,male,General,WA, two ,SEBA,AHSEC,OTHERS,Vg,Excellent,BUSINESS,HOUSE_WIFE,
Vg,female,General,WA,,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,bad
 vG ,male,General,NO,ONE,SEBA,CBSE,ENGLISH,Good,Good,OTHERS,HOUSE_WIFE,bad
Vg,male,General,WA, two ,SEBA,AHSEC,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE,82
Vg,female,General,WA,ONE,CBSE, cbse ,ENGLISH, NAN ,Excellent,OTHERS,SCHOOL_TEACHER,31
Vg,male,General,WA,FOUR,CBSE,CBSE,ENGLISH,Vg,Vg,COLLEGE_TEACHER,COLLEGE_TEACHER,
Vg,male,General,WA,THREE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,918
Vg,female, gENERAL ,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,721
Vg,female,OBC,WA,THREE, seba ,AHSEC,ENGLISH,Vg,Vg,ENGINEER,HOUSE_WIFE,
Vg,male,General,WA,THREE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,292
Vg,male,General,WA,TWO,SEBA,AHSEC, english ,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,625
Vg,male,General,WA,THREE,SEBA,AHSEC,OTHERS,Excellent,Good,SCHOOL_TEACHER,HOUSE_WIFE,bad
Vg,male,General,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,HOUSE_WIFE,532
Vg,female,OBC,WA,TWO,OTHERS,CBSE, english ,Excellent,Excellent,ENGINEER, house_wife ,856
Vg,female,General,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,569
Vg,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER,bad
Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Good,Vg, college_teacher ,HOUSE_WIFE,638
Vg,female,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,DOCTOR,HOUSE_WIFE,bad
Vg,female,OBC,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,BUSINESS,826
Vg,male,OBC,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,OTHERS, others ,498
Vg,female,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent, college_teacher ,,596
Vg, MALE ,General,NO, three ,SEBA,AHSEC,OTHERS,Vg,Vg,CULTIVATOR,HOUSE_WIFE,975
Vg,female,OBC,WA,THREE,CBSE,AHSEC,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE,748
Vg,male,General,WA,TWO,SEBA,AHSEC,OTHERS,Good,Vg,BUSINESS,HOUSE_WIFE,502
 vG ,,General,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR,280
Vg,male,SC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent, others ,HOUSE_WIFE,905
Vg,female,General,NO,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent, others ,HOUSE_WIFE,
Vg,female,General,WA,TWO,,AHSEC,ASSAMESE, eXCELLENT ,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,bad
Vg,male,General,WA,TWO,SEBA, ahsec ,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,31
Vg,male,General,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,115
Vg,female,OBC,NO,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,386
Vg,female,General,WA,TWO,CBSE,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,159
Vg,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Vg,BUSINESS,HOUSE_WIFE,882
Vg,male,OBC,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,914
Vg,male,OBC,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER,180
Vg,male,OBC,WA,ONE,SEBA,AHSEC, others ,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,829
 vG ,female,General, wa ,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,
Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER,787
Vg,male,OBC,NO,ONE,CBSE, cbse ,ENGLISH,Excellent,Excellent, business ,HOUSE_WIFE,365
Vg,male,General,WA, three ,CBSE,CBSE,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE,40
Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,428
Vg,female,General,WA,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,822
Vg,female,General,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,COLLEGE_TEACHER,933
Vg,male,General,WA,THREE,CBSE,CBSE,ENGLISH,Vg,Good,SCHOOL_TEACHER,HOUSE_WIFE,
Vg,female,General,NO,ONE, cbse ,CBSE,ENGLISH,Excellent,Excellent,OTHERS, house_wife ,836
Vg,female,General,OA,THREE,CBSE,CBSE,ENGLISH,Excellent,Good,OTHERS,HOUSE_WIFE,293
Vg,male,General,WA,TWO,SEBA,,ASSAMESE,Excellent,Vg,COLLEGE_TEACHER,SCHOOL_TEACHER,464
Vg,female,General,WA,ONE,OTHERS,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR,unknown
Vg,male,General,OA,ONE,OTHERS,OTHERS,ENGLISH,Vg,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER,bad
Vg,female,General,NO,ONE,SEBA,AHSEC, english ,Excellent,Excellent,OTHERS,HOUSE_WIFE,unknown
Vg,female,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,OTHERS,642
